Chicago,0
Chicago,0.3
Chicago,0
Chicago,0.6
Chicago,0.9
Chicago,1
Chicago,1
Chicago,2.5
Chicago,3.7
Chicago,0.7
Chicago,1.2
Chicago,2.5
Chicago,1
Chicago,1.3
Chicago,3.2
Phoenix,1.3
Phoenix,0.1
Phoenix,1.4
Phoenix,0.2
Phoenix,0
Phoenix,2
Phoenix,0
Phoenix,0
Phoenix,1.4
Phoenix,0.1
Phoenix,0
Phoenix,1.6
Phoenix,0.2
Phoenix,0
Phoenix,1.8
SanFrancisco,8.1
SanFrancisco,1
SanFrancisco,7.4
SanFrancisco,5.5
SanFrancisco,0.9
SanFrancisco,5.3
SanFrancisco,7.8
SanFrancisco,0.9
SanFrancisco,7.5
SanFrancisco,6.9
SanFrancisco,1
SanFrancisco,6.8
SanFrancisco,5.6
SanFrancisco,0.9
SanFrancisco,5.1
NewYork,0.3
NewYork,3.3
NewYork,1.5
NewYork,1.7
NewYork,3.6
NewYork,1.9
NewYork,2.1
NewYork,2.8
NewYork,1.7
NewYork,4.5
NewYork,6
NewYork,1.8
NewYork,1.6
NewYork,4.4
NewYork,3.9
